venue,innings,bowler,economy
Arun Jaitley Stadium,1,A Kumble,8.0
Arun Jaitley Stadium,1,A Mishra,4.0
Arun Jaitley Stadium,1,A Mithun,11.142857142857142
Arun Jaitley Stadium,1,A Nehra,9.120000000000001
Arun Jaitley Stadium,1,A Singh,9.428571428571429
Arun Jaitley Stadium,1,AA Chavan,6.5
Arun Jaitley Stadium,1,AB Agarkar,15.0
Arun Jaitley Stadium,1,AB Dinda,7.6875
Arun Jaitley Stadium,1,AC Thomas,5.666666666666666
Arun Jaitley Stadium,1,AC Voges,7.714285714285715
Arun Jaitley Stadium,1,AD Russell,5.842105263157895
Arun Jaitley Stadium,1,AG Murtaza,5.0
Arun Jaitley Stadium,1,AR Patel,4.7368421052631575
Arun Jaitley Stadium,1,Anand Rajan,1.0
Arun Jaitley Stadium,1,Avesh Khan,8.666666666666666
Arun Jaitley Stadium,1,B Geeves,12.0
Arun Jaitley Stadium,1,B Kumar,5.142857142857142
Arun Jaitley Stadium,1,B Lee,8.5
Arun Jaitley Stadium,1,BA Stokes,14.0
Arun Jaitley Stadium,1,BB Sran,7.714285714285715
Arun Jaitley Stadium,1,BE Hendricks,11.5
Arun Jaitley Stadium,1,BW Hilfenhaus,7.846153846153847
Arun Jaitley Stadium,1,Bipul Sharma,6.0
Arun Jaitley Stadium,1,CH Gayle,8.0
Arun Jaitley Stadium,1,CH Morris,9.142857142857142
Arun Jaitley Stadium,1,CK Langeveldt,10.615384615384615
Arun Jaitley Stadium,1,CR Brathwaite,14.0
Arun Jaitley Stadium,1,CR Woakes,9.0
Arun Jaitley Stadium,1,D Wiese,3.4285714285714284
Arun Jaitley Stadium,1,DJ Hooda,5.0
Arun Jaitley Stadium,1,DJ Hussey,6.0
Arun Jaitley Stadium,1,DL Chahar,5.846153846153846
Arun Jaitley Stadium,1,DP Nannes,6.959999999999999
Arun Jaitley Stadium,1,DP Vijaykumar,5.0
Arun Jaitley Stadium,1,DS Kulkarni,10.25
Arun Jaitley Stadium,1,DW Steyn,4.604651162790698
Arun Jaitley Stadium,1,GD McGrath,5.225806451612903
Arun Jaitley Stadium,1,HH Pandya,10.0
Arun Jaitley Stadium,1,HV Patel,5.0
Arun Jaitley Stadium,1,Harbhajan Singh,7.135135135135135
Arun Jaitley Stadium,1,Harmeet Singh,10.0
Arun Jaitley Stadium,1,I Sharma,7.216216216216216
Arun Jaitley Stadium,1,IC Pandey,8.666666666666666
Arun Jaitley Stadium,1,IK Pathan,6.243243243243244
Arun Jaitley Stadium,1,J Yadav,7.0
Arun Jaitley Stadium,1,JA Morkel,8.076923076923077
Arun Jaitley Stadium,1,JC Archer,5.0
Arun Jaitley Stadium,1,JD Unadkat,6.666666666666667
Arun Jaitley Stadium,1,JH Kallis,6.5
Arun Jaitley Stadium,1,JJ Bumrah,9.120000000000001
Arun Jaitley Stadium,1,JO Holder,8.307692307692307
Arun Jaitley Stadium,1,JP Duminy,3.0
Arun Jaitley Stadium,1,JP Faulkner,3.8
Arun Jaitley Stadium,1,Joginder Sharma,10.615384615384615
Arun Jaitley Stadium,1,K Gowtham,11.0
Arun Jaitley Stadium,1,K Rabada,8.25
Arun Jaitley Stadium,1,KH Pandya,6.9230769230769225
Arun Jaitley Stadium,1,KK Cooper,7.0
Arun Jaitley Stadium,1,KMA Paul,13.714285714285714
Arun Jaitley Stadium,1,KP Pietersen,7.0
Arun Jaitley Stadium,1,KV Sharma,12.0
Arun Jaitley Stadium,1,KW Richardson,7.0
Arun Jaitley Stadium,1,Kuldeep Yadav,9.5
Arun Jaitley Stadium,1,L Ablish,12.0
Arun Jaitley Stadium,1,L Balaji,5.0
Arun Jaitley Stadium,1,L Ngidi,4.0
Arun Jaitley Stadium,1,LE Plunkett,6.0
Arun Jaitley Stadium,1,M Morkel,7.069767441860465
Arun Jaitley Stadium,1,MA Starc,4.153846153846153
Arun Jaitley Stadium,1,MC Henriques,15.0
Arun Jaitley Stadium,1,MF Maharoof,8.25
Arun Jaitley Stadium,1,MG Johnson,7.0
Arun Jaitley Stadium,1,MJ McClenaghan,6.230769230769232
Arun Jaitley Stadium,1,MM Patel,11.5
Arun Jaitley Stadium,1,MM Sharma,6.666666666666667
Arun Jaitley Stadium,1,MS Gony,8.0
Arun Jaitley Stadium,1,Mohammad Nabi,6.333333333333334
Arun Jaitley Stadium,1,Mohammed Shami,10.8
Arun Jaitley Stadium,1,Mustafizur Rahman,5.0
Arun Jaitley Stadium,1,NA Saini,11.0
Arun Jaitley Stadium,1,NLTC Perera,9.0
Arun Jaitley Stadium,1,NM Coulter-Nile,6.947368421052632
Arun Jaitley Stadium,1,P Awana,4.0
Arun Jaitley Stadium,1,P Kumar,9.3
Arun Jaitley Stadium,1,P Negi,10.0
Arun Jaitley Stadium,1,P Parameswaran,8.5
Arun Jaitley Stadium,1,PJ Cummins,9.84
Arun Jaitley Stadium,1,PJ Sangwan,13.5
Arun Jaitley Stadium,1,PM Sarvesh Kumar,6.857142857142857
Arun Jaitley Stadium,1,PP Chawla,7.333333333333334
Arun Jaitley Stadium,1,PV Tambe,6.5
Arun Jaitley Stadium,1,Pankaj Singh,5.5
Arun Jaitley Stadium,1,R Ashwin,10.0
Arun Jaitley Stadium,1,R Shukla,6.0
Arun Jaitley Stadium,1,R Vinay Kumar,9.5
Arun Jaitley Stadium,1,RA Jadeja,6.0
Arun Jaitley Stadium,1,RE van der Merwe,5.0
Arun Jaitley Stadium,1,RJ Harris,6.5
Arun Jaitley Stadium,1,RP Singh,10.421052631578949
Arun Jaitley Stadium,1,RR Powar,5.368421052631579
Arun Jaitley Stadium,1,S Aravind,7.666666666666666
Arun Jaitley Stadium,1,S Gopal,14.0
Arun Jaitley Stadium,1,S Kaul,10.666666666666666
Arun Jaitley Stadium,1,S Ladda,11.0
Arun Jaitley Stadium,1,S Lamichhane,8.5
Arun Jaitley Stadium,1,S Nadeem,6.833333333333333
Arun Jaitley Stadium,1,S Narwal,6.0
Arun Jaitley Stadium,1,S Sreesanth,7.170731707317072
Arun Jaitley Stadium,1,SA Yadav,8.0
Arun Jaitley Stadium,1,SJ Srivastava,15.42857142857143
Arun Jaitley Stadium,1,SL Malinga,5.6
Arun Jaitley Stadium,1,SM Boland,9.0
Arun Jaitley Stadium,1,SN Thakur,9.5
Arun Jaitley Stadium,1,SP Narine,5.510204081632653
Arun Jaitley Stadium,1,SR Watson,8.5
Arun Jaitley Stadium,1,SS Mundhe,5.142857142857142
Arun Jaitley Stadium,1,STR Binny,9.0
Arun Jaitley Stadium,1,SW Tait,13.0
Arun Jaitley Stadium,1,Sandeep Sharma,6.2666666666666675
Arun Jaitley Stadium,1,Shakib Al Hasan,3.3333333333333335
Arun Jaitley Stadium,1,Shivam Mavi,9.0
